,Category,Sentence
1361,3,"At its best, it's Black Hawk Down with more heart."
1362,1,It's not easy to check.
1363,0,"This is the kind of inferior filth that is usually transferred directly to video - with a lousy script, clumsy direction, pathetic acting, poorly synchronized dialogue, and opaque cinematography, complete with visible boom microphones."
1364,2,"But this is not a film about an inhuman monster, but about a very human one."
1365,1,"Feels like the work of an artist who is just tired - fighting the same battles, putting the weight of the world on his shoulders, playing with the narrative form."
1366,3,"The little girls understand, and McCracken knows it matters."
1367,2,'Tobey Maguire's a poster boy for the geek generation. '
1368,0,End-stage brain death.
1369,3,A beautiful retrospective of a bygone time.
1370,0,"Seagal, who these days looks more like Danny Aiello, mumbles his way through the film."
1371,1,"High Crimes carries almost no organic intrigue as a government thriller, and that's because the film serves up all this stuff, almost subliminally, as an Old Hat province of male intrigue."
1372,3,The Wild Thornberries film is enjoyable enough and the message of our close bond with animals can certainly not be emphasised enough.
1373,3,An average child empowerment fantasy with a slightly above-average brain.
1374,2,"The whole slightly enjoyable outing - the R-rating stands for short nudity and a cruel corpse - is based not on self-referential hot air, but on Tim Allen's inspired performance."
1375,2,"The absurd elements seemed too old-fashioned and familiar to interest me, but their distracting sombre message is good."
1376,2,"If you're ""really renting it out,"" you're not interested in discretion in your entertainment choices, but in Anne Geddes, John Grisham and Thomas Kincaid."
1377,1,Director and screenwriter Ritchie reduces Wertmuller's social mores and politics to tedious jargon.
1378,3,I suspect the director is a wizard.
1379,2,Most characters come across as pantomime sterotypes.
1380,0,"Here, sadly, it collapses like an overcooked soufflé."
1381,1,I'm sure there's a teenager who dies somewhere for this kind of entertainment.
1382,2,What amazes me is the lack of emphasis on music in Britney Spears' first film.
1383,3,"Astonishingly unoriginal in its own right, this cross-gender comedy is generally quite funny."
1384,2,The film's clumsy script navigates quickly into pomp and presumption.
1385,1,"Amid all the emotional rocking back and forth, it's hard to grasp the depth of these two literary figures and even the period in which they lived."
1386,1,"That the routine of this arrogant wannabe Richard Pryor is offensive, childish and unimaginative, if at least it were funny, wouldn't matter so much."
1387,0,The innate theatricality that provides thrills and extreme emotions loses its lustre when it is flattened on screen.
1388,4,A rousing documentary.
1389,2,Hardly.
1390,1,"Finally bland, painfully slow and unnecessarily confusing... The film, which was not shot on film but on digital videotape, is often indecipherable."
1391,3,The beauty of Alexander Payne's ode to Everyman lies in the detail.
1392,4,"A poignant poetry pervades Balzac and the little Chinese seamstress, who transforms this story about love and culture into a cinematic poem."
1393,4,"Judging by virtually every other film with a similar theme except its Oscar-winning franchise predecessor, The Silence of the Lambs, Red Dragon is an extraordinary thriller."
1394,3,"The performances are strong, although the subject requires acting, which sometimes borders on hammam."
1395,4,Very well written and very well played.
1396,4,It has that rare quality of being able to crawl hell out of you...
1397,3,"A chronicle not only of one man's quest to become president, but also of how that man single-handedly transformed a plane full of hard-boiled, cynical journalists into what was essentially an expanded advertising department at the end of the campaign."
1398,2,Super Troopers is a strange amalgam of comedic genres that exists somewhere between the often literal riffs of the early Zucker Brothers / Abrahams films and the decidedly sordid styles of their postmodern contemporaries The Farrelly Brothers.
1399,0,It doesn't take long for the evening to end.
1400,3,"Unlike most surf films, Blue Crush uses state-of-the-art technology in an exciting way to lure viewers into the wave."
1401,3,The film is sensitively narrated by Martin Landau and sensitively and skilfully directed by Dana Janklowicz-Mann.
1402,3,"If you answer ""yes,"" you can definitely enjoy The New Guy."
1403,1,Even children deserve better.
1404,3,Has the rare ability to calm and break your heart with a single beat.
1405,3,Nice work.
1406,3,"A bright, inventive, thoroughly victorious flight of revisionist imagination."
1407,4,Me Without You has a refreshing truth that is refreshing after the phonosity of female-connecting images like Divine Secrets of the Ya-Ya Sisternity.
1408,3,"The Saigon of 1952 is an uneasy blend of sensual pleasures and smouldering violence, and The Quiet American takes us right into the heart of this world."
1409,1,There's something fishy about a seasonal children's film... drawing its moment of most compelling emotional gravity from a scene in which Santa presents adults with presents.
1410,3,"Visually fascinating... an often intense character study about fathers and sons, loyalty and duty."
1411,1,"When you put the primitive murderer in a high-tech space station, a Pandora's box with special effects ranging from kitschy to kitschy to kitschy is opened."
1412,1,"While Scorsese's bold imagery and overall clever cast ensure that ""Gangs"" never becomes lethargic, the film is hampered by a central plot peppered with false starts and populated by characters who can barely care for them."
1413,1,A bland animated sequel that hardly seems worth the effort.
1414,3,"This is a film that is what it is: a pleasant distraction, a Friday night distraction, an excuse to eat popcorn."
1415,3,The best of the previous Pierce Brosnan James Bond films.
1416,1,... stumbles upon every cheap trick in the book that tries to make the indignation even easier.
1417,4,"... a lively, thoughtful, unapologetically raw coming-of-age story full of sex, drugs and rock'n ""roll."
1418,1,"A visionary miracle, but it lacks the depth of storytelling normally found in anime like this."
1419,0,What is missing from murder by numbers is a real psychological basis for the deviant behaviour of the teenagers.
1420,3,Good-natured cornball sequel.
1421,4,"Light the candles, get the cake out and don't worry about the calories, because there's little substance in Birthday Girl - it's simple and surprisingly a nice, light treat."
1422,1,It's easy to love Robin Tunney - she's pretty and she can act - but it's getting harder and harder to understand her choices.
1423,0,Not even Felinni knew what to think of this Italian freak show.
1424,2,What happens to the incessant lounge music in the background of the film can be mistaken for a Hanukkah song by Adam Sandler.
1425,4,"Director Lee has a real cinematic knack, but it's also nice to see a film that wears its heart on its sleeve so thoroughly and unashamedly."
1426,0,It doesn't work.
1427,0,... a bland murder on campus.
1428,3,"A fascinating, dark thriller that keeps you glued to the delicious inertia of its lurid fiction."
1429,1,A caricature?
1430,2,A frustrating but deeply observable melodrama that makes you think it's a tougher picture than it is.
1431,2,Perhaps the most undignified victim of excessive overkill since Town and Country.
1432,2,"Perhaps I've never, since Grumpy Old Men, heard a film so firmly tied to one demographic while working with another."
1433,2,"If you n not... well, jump to another review."
1434,1,An uneven mix of dark satire and childhood awakening.
1435,0,"You'll forget about it until Monday, and when you're old enough to have developed a taste, your children will too."
1436,2,Resident Evil is what happens when you take John Carpenter's Ghosts of Mars and get rid of the beheadings.
1437,1,"Attal's hangers-on about infidelity are so old-fashioned and, dare I say it, outdated that it's a wonder he didn't just accidentally bring something fresher into the proceedings."
1438,2,The policy of protecting the code at all costs is also beginning to blur as the meaning of the man and the code merge
1439,3,"If you are part of their target audience, you will cheer."
1440,3,"What saves it... and makes it one of the better video game films, is that the film acknowledges from the outset that the plot does not make sense, so that the lack of linearity is the emotional and moral starting point for protagonist Alice."
1441,3,"A lively, spicy footnote to the story and a film that captivates and captivates you from beginning to end."
1442,3,Tied to appeal to women looking for a howling trashy time.
1443,2,The Sundance Film Festival has become so bustling that fans and producers come to Utah every January to release The Next Great Thing.
1444,1,Blue Crush is so tedious and boring that it's nowhere near the barn-burning bad movie it promised.
1445,3,"The filmmakers know how to please the eye, but it is not always the most beautiful images that tell the best story."
1446,3,Criminal conspiracies and true romances move so easily across ethnic and cultural boundaries in the film that My Big Fat Greek Wedding feels like an apartheid drama.
1447,3,"When people started hanging out at the hairdresser, they never wanted to leave."
1448,1,She does not shrink from her disturbing prediction that the legacy of war is a kind of eternal pain.
1449,3,An intimate look at two wonderfully chaotic lives.
1450,3,"If you opt for a silly hack-and-slash flick, you can't go wrong with Jason X."
1451,2,The respective charms of Sandra Bullock and Hugh Grant are flimsy.
1452,3,Quaid's performance is particularly noteworthy.
1453,1,"Those who do not know the author's work, on the other hand, can quickly fall asleep."
1454,1,It should have stayed there.
1455,3,"From the invitingly lively overture to the pathos-laden but ultimately life-affirming finale, Martin is a masterfully conducted work."
1456,1,"In the wake of Saving Private Ryan, Black Hawk Down and We Were Soldiers, you are likely to be as haunted by chaos as Cage's war-weary Marine."
1457,4,The kind of sweet-and-sour insider film that movie fans will eat like so much gelati.
1458,0,"The Burning Sensation, a video of ""Girls Gone Wild"" for boho arthouse audiences, is not a definitive countercultural document - its creators are not remote and curious enough."
1459,1,"The script is a disaster, with disturbing messages and irritating characters."
1460,2,"Spider-Man is in the same category as X-Men - occasionally brilliant, but mostly average, which shows signs of potential for a sequel, but doesn't bring us much this time."
1461,3,"They are bursting with the nefarious, off-kilter humor that comes from Yiddish culture and language."
1462,3,The dirty jokes provide the funniest moments in this strangely sweet comedy about jokey highway patrols.
1463,3,Tied to appeal to women looking for a howling trashy time.
1464,0,Without any redeeming value.
1465,1,It deserves its critical backlash and more.
1466,4,< br > 'The best Disney movie since The Lion King'
1467,0,Dripping with clichés and missing no opportunity to trivialize the material.
1468,4,This is a sincerely constructed image that deserves to get out of the traffic jam of holiday movies.
1469,1,Sounds like a pretty feeble conversion.
1470,1,The codetalkers deserve better than a hollow appraisal.
1471,1,"Spider-Man is all about growing strange hair, getting a more mature body and hiding new secretions from parents."
1472,1,The plot of Santa Clause 2 may sound like it was co-written by Mattel executives and lobbyists for the tinsel industry.
1473,3,"A sharp, amusing study of the cult of celebrity."
1474,3,"As much as I laughed throughout the film, I can't convincingly defend the film as entertainment or even performance art, although the film makes you wonder at these guys ""superhuman ability to withstand pain."
1475,2,Reyes' word processor.
1476,3,There are enough throwaway references to faith and the rainbow to implant smiling faces into the part of the population that made A Walk to Remember a niche hit.
1477,0,"This is a film full of unlikeable, spiteful idiots; whether their friendship is saved or not is in the least irrelevant."
1478,0,"Franco is an excellent choice for the cordoned-off but combustible hustle, but he doesn't give the transcendent performance SONNY needs to overcome gaps in character development and plot logic."
1479,4,Kinnear's achievement is a career-defining revelation.
1480,1,It's just a film that happens to have Jackie Chan in it.
1481,4,This comedic gem is as delightful as it is derivative.
1482,4,A delicious and delicately funny look at the inhabitants of a Copenhagen neighbourhood coping with the confusing complications of life.
1483,3,That is quite a vision.
1484,1,Resembles a soft porn Brian De Palma pastiche.
1485,3,"Short and sweet, but above all light... Tadpole withdraws from the consequences of her own actions and revelations."
1486,1,"The film starts promisingly, but the ending is all too predictable and far too clichéd to really work."
1487,3,Maintain your interest until the end and even leave a few animated thoughts.
1488,2,The talkative film plays like one of Robert Altman's smaller works.
1489,3,"If you can work your way through the slow spots, you will be rewarded with a fine acting performance."
1490,3,"Behind the film's apparent determination to shock at all costs is considerable skill and determination, aided by raw nerves."
1491,3,"Shocking, devastating documentary about two misfit teenagers in a downward spiral of drugs."
1492,1,None of this is half as moving as the filmmakers seem to think.
1493,4,It could also be the best sex comedy about pollution ever made.
1494,1,"A laudable idea, but the uninspired screenplay, acting and direction never rise above the level of an after-school TV special."
1495,3,"Smith explores the intimate, unguarded moments of people living in unusual homes - appearing in almost every corner of the country."
1496,4,Captures the raw comic energy of one of our most flamboyant female comics.
1497,2,'Watch out! '
1498,1,"Nothing like the crackling of ""Fatal Attraction,"" ""9 1 / 2 Weeks"" or even ""Indecent Proposal"" ""and feels more like Lynes"" stoic remake of ""Lolita."" """
1499,2,A thriller that consists of the checklist of a completist and not of the passion of a cultist.
1500,3,"-LRB- City -RRB- reminds us how realistically nuanced a Robert De Niro performance can be if he does not engage more profitably with the shameless self-caricature of ""Analyze This"" -LRB- 1999 -RRB- and ""Analyze That"" that -LRB- or -RRB- promised for later this year."
1501,4,A captivating and stirringly enthusiastic documentary.
1502,2,A piquant meditation on the things that prevent people from achieving happiness.
1503,1,"Shame on writer-director Vicente Aranda for making a flowery biopic about mad queens, obsessive relationships and rampant adultery so boring."
1504,0,"The pace is lethal, the narrative unhelpful and Naipaul, a juicy writer, is denied."
1505,0,It's not just the vampires who are damned in Queen of the Damned - viewers will suffer the same fate.
1506,2,Showtime's star-studded cast could be both an advantage and a disadvantage.
1507,1,"The children in the audience of the preview screening seemed bored, cheering the paws, but little else; their parents, the smart people they are, read books."
1508,1,"... while every moment of this fractured character study is rich in emotional texture, the journey doesn't really go anywhere."
1509,1,"Despite its promising character line-up, Big Trouble remains a loosely bound series of vignettes that only prove that ""zany"" doesn't necessarily mean ""funny."""
1510,4,"The music makes a beautiful album, the food is tempting and Italy attracts us all."
1511,2,"Tom Shadyac has learned a little more since directing Adams, but he still hesitates with every point until the slowest viewer understands it."
1512,0,"Derailed by bad writing, and possibly by some of the extensive post-production that the film targets young men experiencing their first burst of testosterone."
1513,1,"Too clever to ignore, but a little too smug to like, this could be a film that ends up punching its target audience in the face by shooting itself in the foot."
1514,3,Eyre is on track to become the American Indian Spike Lee.
1515,3,Underlying the filmmaking is a real visual charge and a strong erotic spark on the crucial lip-reading sequence.
1516,1,"This mild farce, staged by one of its authors, John C. Walsh, is kitschy in a way reminiscent of a long-ago expiry date."
1517,2,Means reducing Blake's philosophy to a tragic coming-of-age saga punctuated by bursts of animator Todd McFarlane's superhero dystopia.
1518,2,"Directors John Musker and Ron Clements, the team behind The Little Mermaid, have produced sparkling retinal candy, but they are unable to muster much emotional resonance in the cold vacuum of space."
1519,0,"... an incredibly clumsy, manipulative dud who feels all too familiar."
1520,4,"This is pure, exciting filmmaking."
1521,3,"A terrible day in Irish history is treated passionately, if somewhat incorrectly."
1522,3,Tres Greek writer and star Nia Vardalos has written a clever and very funny screenplay.
1523,2,"Subtract -LRB- s -RRB- the rare trick to recreate not only the look of a particular era, but also the feeling."
1524,2,It's everything you'd expect - but no more.
1525,4,The result is their best performance in years.
1526,0,"Never capitalize on this concept and opt for the breezy, amateurish feeling of an after-school special on the subject of tolerance."
1527,1,"True to form and historical regalia, but otherwise drowns in a sea of visual and verbal clichés."
1528,1,"Although Amari's film is certainly more naturalistic than its Australian counterpart, it fails to build the drama of Lilia's journey."
1529,2,"Benigni presents himself as the boyish puppet Pinocchio, with a declining hairline, weathered expression and the ridiculously incongruous voice of the American Breckin Meyer."
1530,1,"The film is full of good intentions, but in its eagerness to squeeze the plot and our emotions into the all too familiar dramatic arc of the Holocaust escape story, Minac deprives his film of any individuality."
1531,3,"Ridiculous, but director Carl Franklin adds enough blossom and freshness to make it entertaining."
1532,2,"is now stretched to barely feature length, with a little more attention paid to the animation."
1533,3,The best film of 2002.
1534,4,"Shot mostly in small spaces, the film has a gentle, unforced intimacy that never becomes claustrophobic."
1535,3,Every now and then the film is quite funny without degrading its themes in any way.
1536,1,Just an accumulation of this and that -- whatever fills the time -- without a unified whole.
1537,0,It could easily be mistaken for a sketchy work-in-progress that was inexplicably pushed into megacities before its time.
1538,1,It's not a big monster movie.
1539,3,"Has a distinctive, carefree joie de vivre."
1540,3,"""Auto Focus"" functions as an unusual biopic and document of male swingers in the Playboy era"
1541,4,Wonderfully entertaining and insanely cheerful documentary.
1542,3,"Conceptually brilliant... Plays like a war of worlds in the living room, gaining most of its unsettling power from the proposed and the unknown."
1543,0,"I don't blame Eddie Murphy, but shouldn't Owen Wilson know that a film has to have a story and a script?"
1544,3,"It's a clever, funny look at an obscure area of popular culture, and if it's not entirely convincing, it does shed some light on some talented performers."
1545,4,"Loud lines, enchanting but heartfelt performances and tingling, bittersweet dialogues that get to the bottom of the modern girl's dilemma."
1546,4,It's refreshing to see a film that takes up its old-fashioned themes and looks like something entirely original.
1547,2,"Noyce creates a film of almost hypnotic physical beauty, even as it tells a story as terrible as any in the heartbreakingly extensive annals of racism between white and black."
1548,0,"A jumbled, limp pastry from a movie, a vampire soap opera that doesn't make much sense on its own."
1549,2,"While we want MacDowell's character to bring her husband back, we must wonder whether her personal odyssey trumps the carnage that has claimed so many lives around her."
1550,3,The film is a wild dance of destruction.
1551,1,Michele is such a brainless flirt that it's hard to take her spiritual aspirations seriously.
1552,1,I didn't find much fascination with swinging.
1553,3,"Terry is a sort of geriatric Dirty Harry, which will please Eastwood's loyal fans - and fits the story of our hero having to deal ruthlessly with incompetent cops to get his man."
1554,3,Pull it off all its excess debris and you'd have a 90-minute four-star movie.
1555,1,The most excruciating 86 minutes you could have endured without a dentist's drill this summer.
1556,1,"Unfortunately, Full Frontal plays like the work of a dilettante."
1557,2,The Lady and the Duke is Eric Rohmer's economic antidote to the bloated costume drama
1558,2,Ice Age poses a previously unfathomable question: Is it possible for computer-generated characters to go through the movements?
1559,2,"For a cinema audience, The Hours does not connect in a clean way, but introduces characters who shed light on secrets of sex, duty and love."
1560,1,Hardly more than a well-assembled history lesson.
1561,4,"The hard-to-predict and utterly indispensable chemistry between the down-to-earth Bullock and the nonchalant Grant proves sensational, and everything meshes in this elegant conversation."
1562,2,"The story, as touching as it is, does not have enough emotional resonance or variety of events to sustain a feature film, and even at 85 minutes it feels a bit long."
1563,0,"Imagine -LRB- if possible -RRB- a Pasolini film without passion or politics or an Almodovar film without beauty or humor, and you have an idea of the murky, dazed experience of watching O Fantasma."
1564,2,"It's not a classic agent or buddy movie, but entertaining enough and worth a look."
1565,3,"This stirringly truthful antidote to Hollywood's teenage films, which console Clearasil over the stains of youth, captures the combustible mixture of the abrasive inner loneliness and desperate grandeur that characterizes puberty."
1566,0,"True to its animatronic roots:... as stiff, ponderous and charming as a mechanical apparatus... ""The Country Bears"" should never have been brought out of hibernation."
1567,3,"Unfolds in a reserved, organic way that encourages you to accept it as life and go with its flow."
1568,4,"Despite the predictable parent-child coming-of-age theme, first-rate, natural acting and a look at ""the real Americans"" make the charm."
1569,3,"It has all the familiar Bruckheimer elements, and Schumacher probably does as well as anyone in solving the Hopkins-Rock collision between acting style and screen personalities."
1570,3,But it's defiant and delightful against the grain.
1571,1,A good-natured ensemble comedy that tries to get the best out of a bumper cast but never really gets going.
1572,2,"It's not very subtle... Yet he manages to arrive at a startling, if obvious, conclusion."
1573,1,"Over-the-top, melodramatic bodice-ripper."
1574,3,Should be compulsory both for civic education and for aspiring public servants.
1575,1,"You might think you've spotted the cheater and the players in this debut film by Argentinian director Fabian Bielinsky, but you'd think someone had got away with it."
1576,0,... what a banal drill the preachy circuit will be
1577,3,A keep - 'em - guessed plot and an affectionate attitude to his twisted characters.
1578,2,"Wrapped up in the guise of a dark and quirky comedy, but it's not as quirky as it thinks, and its comedy is generally mean."
1579,3,"The film is... determined to treat its weak and strong characters as fallible human beings, not caricatures, and to carefully delineate the costs of the inevitable conflicts between human urge and an institution concerned with self-preservation."
1580,0,A peculiar misfire that not even Tunney can save.
1581,0,Coated with tasteless B-movie scum.
1582,3,"You can watch, giggle and get an adrenaline rush without feeling like you've completely lowered the standard of entertainment."
1583,1,The Master of Disguise is Adam Sandler's latest attempt to dumb down the universe.
1584,0,The only problem is that in the end no one in the audience or in the film really seems to care.
1585,1,"If the tuxedo were actually a suit, it would fit Chan like a $99 bargain basement special."
1586,4,"A fine, rousing, G-rated family film aimed primarily at small children, but with plenty of entertainment value to keep the adults from squeezing into their seats."
1587,4,It's as raw and action-packed an experience as a ring seat in a tough fight.
1588,2,"I have no problem with ""difficult"" films or films that ask the audience to meet them halfway and connect the dots instead of having everything spelled out."
1589,3,"And there's the inimitable Diaz, who holds everything together."
1590,4,This film is worthy of recognition.
1591,4,"Simply put, ""Far From Heaven"" is a masterpiece."
1592,1,"And if you appreciate the one-page theme to Lawrence's exuberant tirade, then knock yourself out and enjoy the big-screen postcard, which is a self-declared Martin Lawrence love fest."
1593,2,Charming and funny -LRB- but ultimately silly -RRB- movie.
1594,1,"Sad nonsense, that."
1595,3,"Revolution # 9 turns out to be a captivating, interestingly narrated film, even by its weaknesses."
1596,2,Avary's film never quite emerges from the shadows of Ellis's book.
1597,2,"If Jews were Catholics, it would be the Catechism"
1598,2,An oestrogen opera so intensely feminine that it serves as an antidote - LRB and cannibal doppelganger - to Diesel's XXX Flex-a-thon.
1599,3,"The new Insomnia is a surprisingly faithful remake of its cool predecessor, and if it chooses to go in its own direction, it uses changes that suit it rather than those imposed for commercial reasons."
1600,2,I wish the wind talkers had had more faith in the dramatic potential of this true story.
1601,3,"After an uncertain start, Murder reaches a higher plateau with Bullock's memorable first interrogation of Gosling."
1602,2,"""Lovely and Amazing"" is unfortunately neither... overly strained nor invented."
1603,3,He single-handedly hauls it back.
1604,3,But it has a saving grace.
1605,1,Like browsing through a photo album with sketchy captions.
1606,4,"With an unflappable air of decadent urbanity, Everett remains a perfect Wildean actor, and a relaxed Firth shows impeccable comedic skill."
1607,4,He does it so well that it's not difficult to accept him in the role.
1608,3,Otto-Sallies has a real filmmaking eye.
1609,1,I can't say this enough: this film is about a grown man in pink jammies.
1610,1,Michele is such a brainless flirt that it's hard to take her spiritual aspirations seriously.
1611,2,"With miscasts, banal dialogue and an absurdly exaggerated climax, Killing Me Softly belongs firmly in the so-called ""bad it's - good camp."""
1612,3,It was only a matter of time before some savvy producer recognized the potential success inherent in the mix of Bullock Bubble and Hugh Goo.
1613,0,This takes aim at the toilet and scores a direct hit.
1614,4,could turn out to be a -LRB- Tsai's -RRB- masterpiece.
1615,4,Manages to be both hugely entertaining and uplifting.
1616,4,"A first-class, thoroughly rousing B-movie that effectively combines two surefire, beloved genres - the prison movie and the fight movie."
1617,3,One of those joyous films that leap across national boundaries and celebrate universal human nature.
1618,2,"As we have learned - as often as we can count on our fingers - Jason is a killer who does not know the meaning of the word ""stop."""
1619,1,"The picture seems uncertain whether it wants to be a sour, all-male All About Eve or a lush, revelatory melodrama in the intermezzo."
1620,2,... they missed the boat.
1621,3,"A sensitive, humble comic tragedy that functions both as a character study and as a symbolic examination of the enormous economic changes that are shaking modern China."
1622,1,"Well done, but with no involvement, Bloodwork is not a terrible film, just a startlingly obvious one - an unrewarding collar for a crime thriller."
1623,0,The only thing you can give the film points for is bragging - taking a completely stale concept and pushing it through the audience's meat grinder again.
1624,2,"Thriller directorial debut for Traffic writer Gaghan has all the right roles, but the plays don't quite fit together."
1625,0,"The director, with his fake backdrops and stately tempo, never commits to a uniform tone."
1626,1,Borrowings from other films like it in the most ordinary and obvious way.
1627,4,Throughout smart and exciting.
1628,3,But it's defiant and delightful against the grain.
1629,1,I give him the thumbs up for the endlessly repetitive scenes of embarrassment.
1630,0,"By the time you reach the final, you'll probably be wondering why you've watched all this strutting and posing."
1631,1,Cal is an uncomfortably shallow and immature character to spend 110 claustrophobic minutes with.
1632,1,Has all the complexity and realistic human behavior of an episode of General Hospital.
1633,1,The brainless but enjoyably over-the-top retro gang melodrama Deuces Wild represents the machismo of the fifties in a way that borders on rough-trade-homo-eroticism.
1634,1,"Like a circus with three rings, there are plenty of side stories - none of them memorable."
1635,0,"Boring, a road trip film that has surprisingly little to do with adventure or singing."
1636,1,"Despite smooth production values and director Roger Michell's pacing, the end result is as if two blokes are yelling in your face for two hours."
1637,4,"Finely crafted, finely written, exquisitely executed"
1638,0,It makes even Elizabeth Hurley look graceful and ugly.
1639,0,The whole film is so formulaic and forgettable that it is barely over before it begins to fade from memory.
1640,4,"unpretentious, charming, quirky, original"
1641,1,"It's a strange show, pregnant with moods, stillbirth, except as a rigorous conceptual exercise."
1642,3,Humour and humanity of Monsoon Wedding are in perfect balance.
1643,0,Significantly under par... more likely to drown a spectator in boredom than send a shiver down his spine.
1644,1,Gritted teeth and tedious.
1645,3,Essentially a collection of bits - and they're all naughty.
1646,4,"Mostly because of the universal themes, the serious performances... and the excellent use of the music of India's popular Gulzar and Jagjit Singh."
1647,3,"This rich, bittersweet Israeli documentary about the life of singer-songwriter Pasach < br > ke Burstein and his family crosses ethnic lines."
1648,2,A film that feels like the pilot episode of a new action TV series for teenagers.
1649,0,"Over-sexualised, sometimes over-the-top comedy that offers little insight into the experience of being forty, female and single."
1650,1,"A series of escapades demonstrating the saying that what is good for the goose is good for the crook, some of which are occasionally amusing, but none of which amounts to a great story."
1651,0,Black and white and unrealistic.
1652,4,"unpretentious, charming, quirky, original"
1653,3,I love the opening scenes of a wintry New York City in 1899.
1654,4,"A sun-drenched masterpiece, part board game, part psychological case study, part whimsical social satire."
1655,3,Bold-impossible and yet compelling...
1656,2,The film simply has too much on its plate to really stay afloat in its nearly ninety-minute running time.
1657,3,Old-fashioned but thoroughly satisfying entertainment.
1658,1,If only Merchant paid more attention to history.
1659,2,Another self-consciously titled story about a bunch of wannabe characters who unite to form a Ca't - miss heist - only to let it all go wrong.
1660,1,"This is a film about the annoying, tiresome nature of complacency, which remains perfectly content to stay the same all the time."
1661,0,"It's super - violent, super serious and super stupid."
1662,2,"There are many things solid acting can do for a film, but turning a mediocre script into something promising is not one of them."
1663,3,It has to be the end of the world: the best film so far this year is a franchise sequel starring Wesley Snipes.
1664,1,Diane Lane's cunning performance cannot rid Adrian Lynes of her insidious moralising.
1665,2,Sayles makes a statement about the inability of dreams and longings to pass on to the next generation.
1666,1,"It has the air of a surprisingly youthful lark, a pop-influenced prank whose charms are immediately recognizable and wear off in repetition."
1667,4,"Subtle and haunting at the same time, the film never succumbs to the trap of Maudlin or tears, and instead, with its unshakeable gaze, offers a measure of confidence in the future."
1668,4,"A refreshingly realistic, touching coming-of-age story."
1669,4,Woody Allen has really found his groove these days.
1670,2,"Every possible turn is telegraphed long in advance, every performance respectfully muted; the film itself seems to have been made under the influence of Rohypnol."
1671,2,"The film is not terrible, but you can see how the next wave comes along mediocre."
1672,3,"But it's just as likely to make you cry, in a way that doesn't make you feel like a sucker."
1673,4,"Dickens's words, and the balanced direction of screenwriter Douglas McGrath, tell a torn good yarn."
1674,4,The early and middle passages are surprising in how much they involve and even touch us.
1675,0,Really awful.
1676,0,Don't even bother to rent this on video.
1677,0,A limping Eddie Murphy vehicle that even he seems embarrassed by.
1678,2,"Expanded to 65 minutes for theatrical release, it still feels a bit unfinished."
1679,4,"Full of passion: for words, for his eccentric, accident-prone characters and for the crazy things that keep people going in this crazy life."
1680,4,"The hard-to-predict and utterly indispensable chemistry between the down-to-earth Bullock and the nonchalant Grant proves sensational, and everything meshes in this elegant conversation."
1681,3,Harmless fun.
1682,3,The bottom line is that the piece works brilliantly.
1683,0,"Another sad proof that Tom Tykwer, the director of the resonant and sense-spinning Run Lola Run, has turned out to be a one-trick pony - the maker of light-footed metaphysical gossip traps."
1684,2,A crisply shot film that is no more than slightly amusing.
1685,2,"Although Frodo's quest remains unfulfilled, a stubborn group of determined New Zealanders have proved their creative prowess."
1686,1,The script is a dark pairing of teen talk and animal gibberish.
1687,2,"< p > Men in Black II creates a new threat to MIB, but recycles the same premise."
1688,1,But it wasn't.
1689,0,The sheer stupidity of the plot - LRB- apart from its one good idea -RRB- and the inevitable whiff of flimsy film take you down.
1690,3,Broomfield has a pretty unique approach to documentaries.
1691,0,My own minority view is that it stinks.
1692,3,"But while it only scratches the surface, it at least provides a strong incentive to explore more."
1693,4,"Despite the predictable parent-child coming-of-age theme, first-rate, natural acting and a look at ""the real Americans"" make the charm."
1694,4,"In addition to the originality of the plot - bringing familiar themes such as family, forgiveness and love together in a new way - Lilo & Stitch has a number of other advantages to recommend to the innocent and exhausted cinema audience."
1695,3,"Holm works his cunning, complicated magic, and Iben Hjelje is quite attractive as a pumpkin."
1696,3,"""Sweet Home Alabama"" is what it is - a nice, harmless date movie..."
1697,2,It just doesn't have much else... especially not in the moral sense.
1698,1,A culture clash comedy that's half as clever as it thinks it is.
1699,4,Leigh is one of the rare directors who sees acting as the heart and soul of cinema.
1700,1,None of the calculated events surprises us...
1701,2,Choked by his own solemnity.
1702,2,Consider this review life-affirming.
1703,3,"None of it is significant or memorable, but neither is icing, and you wouldn't object to a big bowl of it, would you?"
1704,3,Family fare.
1705,2,"Kenneth Branagh's energetic performance as a ranting British playwright justifies this crowded, erratic dramaturgy in which he and his improbably indulgent wife grapple with craziness and child-rearing in Los Angeles."
1706,1,"If Disney's Cinderella proved that ""a dream is a wish of the heart,"" Cinderella II proves that a nightmare is a wish that a studio's wallet fulfills."
1707,0,The Sweetest Thing is specifically aimed at idiots who don't care what kind of sewage they shovel into their mental oesophagus to simulate food.
1708,3,"At best, as is often the case, Michael Moore's Bowling for Columbine rekindles the grumpy, conscientious spirit of ""Are we a sick society?"""
1709,1,The transporter bombards the spectator with so many explosions and lateral snapshots that it becomes surprisingly boring in the end.
1710,2,"And: ""They're coming!"""
1711,1,Does not go far enough in his humour or ideas to stand out as particularly memorable or even funny.
1712,2,They have enough fine-tuned acting to compensate for the film's weaknesses.
1713,1,"It's as if, at 66, Allen has stopped challenging himself."
